티커,종목명,순매수거래대금
005930,삼성전자,175413882600
000660,SK하이닉스,160575408500
347850,디앤디파마텍,59893639100
196170,알테오젠,54177804500
042700,한미반도체,49648500750
086520,에코프로,41062723050
298380,에이비엘바이오,38849685200
005935,삼성전자우,34008809550
373220,LG에너지솔루션,33856529250
034020,두산에너빌리티,32493109550
003670,포스코퓨처엠,29994169550
0126Z0,삼성에피스홀딩스,28798159000
058610,에스피지,24116773200
247540,에코프로비엠,23760087250
007660,이수페타시스,23545596300
298040,효성중공업,21302541000
087010,펩트론,20935505500
005490,POSCO홀딩스,20905625750
329180,HD현대중공업,20827456000
319400,현대무벡스,20495249625
047810,한국항공우주,19377847300
476060,온코닉테라퓨틱스,18855534585
090710,휴림로봇,18292522045
490470,세미파이브,17998104950
010130,고려아연,16199067500
000720,현대건설,15509838550
003230,삼양식품,14533967000
001440,대한전선,13919750400
016360,삼성증권,13698949900
204320,HL만도,13671039500
307950,현대오토에버,13009804250
424870,이뮨온시아,12349078100
090360,로보스타,12190516100
437730,삼현,11938663050
217590,티엠씨,11882090485
310210,보로노이,11446952000
012450,한화에어로스페이스,11377712000
006120,SK디스커버리,11252294100
022100,포스코DX,11070450950
006400,삼성SDI,10608912500
125490,한라캐스트,10286608190
049630,재영솔루텍,10257066086
277810,레인보우로보틱스,9704218500
103140,풍산,9190411450
222800,심텍,9172560550
010120,LS ELECTRIC,8787284750
067310,하나마이크론,8781722150
207940,삼성바이오로직스,8617229500
066970,엘앤에프,8561222550
267270,HD현대건설기계,8327012250
047050,포스코인터내셔널,8236499325
036460,한국가스공사,8204113500
010140,삼성중공업,7993003225
117730,티로보틱스,7445661910
278470,에이피알,7336775750
006280,녹십자,7302205000
056080,유진로봇,7181663180
086280,현대글로비스,6992305850
030530,원익홀딩스,6988635875
456160,지투지바이오,6942654800
214450,파마리서치,6938653750
015760,한국전력,6615105125
096770,SK이노베이션,6523797850
071050,한국금융지주,6363805250
232680,라온테크,6350200455
000150,두산,6206187500
062040,산일전기,6115770450
012330,현대모비스,5477270750
079550,LIG넥스원,5444793250
455900,엔젤로보틱스,5405354875
348340,뉴로메카,5334347400
078600,대주전자재료,5256753000
290650,엘앤씨바이오,5099710700
127120,제이에스링크,5094830115
475400,씨메스,5053986550
089030,테크윙,4997282850
229640,LS에코에너지,4944482400
160190,하이젠알앤엠,4891922200
214430,아이쓰리시스템,4881826600
270660,에브리봇,4692320975
389470,인벤티지랩,4598183700
139480,이마트,4434232400
397030,에이프릴바이오,3987354750
466100,클로봇,3618906000
051600,한전KPS,3528371475
042520,한스바이오메드,3525809800
042660,한화오션,3485138250
055550,신한지주,3423988200
103590,일진전기,3352423700
000100,유한양행,3336764000
249420,일동제약,3323392250
084370,유진테크,3199244700
417200,LS머트리얼즈,3140534285
450080,에코프로머티,3140515300
083650,비에이치아이,3139414350
457190,이수스페셜티케미컬,3070339250
058470,리노공업,3037986650
255220,SG,3009776733
336260,두산퓨얼셀,2979088600
039200,오스코텍,2922353575
